pb,difficulty,time_param,num_ops,ira
CC,imp,noTP,1,1.0
CC,imp,noTP,2,1.0
CC,imp,noTP,3,1.0
CC,imp,noTP,4,1.0
CC,imp,noTP,5,1.0
CC,imp,TP,1,1.0
CC,imp,TP,2,1.0
CC,imp,TP,3,1.0
CC,imp,TP,4,1.0
CC,imp,TP,5,1.0
CC,exp,noTP,1,1.0
CC,exp,noTP,2,1.0
CC,exp,noTP,3,1.0
CC,exp,noTP,4,1.0
CC,exp,noTP,5,1.0
CC,exp,TP,1,1.0
CC,exp,TP,2,1.0
CC,exp,TP,3,1.0
CC,exp,TP,4,1.0
CC,exp,TP,5,1.0
EI,imp,noTP,1,1.0
EI,imp,noTP,2,1.0
EI,imp,noTP,3,1.0
EI,imp,noTP,4,1.0
EI,imp,noTP,5,0.925
EI,imp,TP,1,1.0
EI,imp,TP,2,1.0
EI,imp,TP,3,1.0
EI,imp,TP,4,1.0
EI,imp,TP,5,1.0
EI,exp,noTP,1,1.0
EI,exp,noTP,2,1.0
EI,exp,noTP,3,1.0
EI,exp,noTP,4,1.0
EI,exp,noTP,5,1.0
EI,exp,TP,1,1.0
EI,exp,TP,2,1.0
EI,exp,TP,3,1.0
EI,exp,TP,4,1.0
EI,exp,TP,5,0.975
CT,imp,noTP,1,0.0
CT,imp,noTP,2,0.875
CT,imp,noTP,3,0.975
CT,imp,noTP,4,0.7625
CT,imp,noTP,5,0.8875
CT,exp,noTP,1,0.0
CT,exp,noTP,2,1.0
CT,exp,noTP,3,1.0
CT,exp,noTP,4,0.9746835443037974
CT,exp,noTP,5,0.9620253164556962
PV,imp,noTP,1,0.0
PV,imp,noTP,2,0.0
PV,imp,noTP,3,0.0
PV,imp,noTP,4,0.6944444444444444
PV,imp,noTP,5,0.9166666666666666
PV,imp,TP,1,0.0
PV,imp,TP,2,0.0
PV,imp,TP,3,0.0
PV,imp,TP,4,0.3157894736842105
PV,imp,TP,5,0.5526315789473685
PV,exp,noTP,1,0.0
PV,exp,noTP,2,0.0
PV,exp,noTP,3,0.0
PV,exp,noTP,4,0.8260869565217391
PV,exp,noTP,5,0.8478260869565217
PV,exp,TP,1,0.0
PV,exp,TP,2,0.0
PV,exp,TP,3,0.0
PV,exp,TP,4,0.8974358974358975
PV,exp,TP,5,1.0
GD,imp,noTP,1,0.0
GD,imp,noTP,2,0.0
GD,imp,noTP,3,0.0
GD,imp,noTP,4,0.0
GD,imp,noTP,5,0.225
GD,imp,TP,1,0.0
GD,imp,TP,2,0.0
GD,imp,TP,3,0.0
GD,imp,TP,4,0.0
GD,imp,TP,5,0.15555555555555556
GD,exp,noTP,1,0.0
GD,exp,noTP,2,0.0
GD,exp,noTP,3,0.0
GD,exp,noTP,4,0.0
GD,exp,noTP,5,0.8444444444444444
GD,exp,TP,1,0.0
GD,exp,TP,2,0.0
GD,exp,TP,3,0.0
GD,exp,TP,4,0.0
GD,exp,TP,5,0.8461538461538461
PP,imp,noTP,1,0.0
PP,imp,noTP,2,0.0
PP,imp,noTP,3,0.475
PP,imp,noTP,4,0.4
PP,imp,noTP,5,0.45
PP,imp,TP,1,0.0
PP,imp,TP,2,0.0
PP,imp,TP,3,0.15
PP,imp,TP,4,0.15
PP,imp,TP,5,0.1
PP,exp,noTP,1,0.0
PP,exp,noTP,2,0.0
PP,exp,noTP,3,1.0
PP,exp,noTP,4,0.975
PP,exp,noTP,5,1.0
PP,exp,TP,1,0.0
PP,exp,TP,2,0.0
PP,exp,TP,3,0.825
PP,exp,TP,4,0.625
PP,exp,TP,5,0.725
